x,l,q,as,al,alsquare,as10term,al10term,as20term,al20term,5ex,10ex,20ex
20,100000.00,0.00025,19.9664,0.04922,0.0058,8.0991,0.61433,13.0559,0.37829,0.78252,0.61224,0.3744
21,99975.00,0.000253,19.9197,0.05144,0.00614,8.099,0.61433,13.0551,0.37833,0.7825,0.6122,0.37429
22,99949.70,0.000257,19.8707,0.05378,0.00652,8.0988,0.61434,13.0541,0.37837,0.78248,0.61215,0.37417
23,99924.00,0.000262,19.8193,0.05622,0.00694,8.0986,0.61435,13.0531,0.37842,0.78245,0.6121,0.37404
24,99897.80,0.000267,19.7655,0.05879,0.00739,8.0983,0.61437,13.0519,0.37848,0.78243,0.61205,0.3739
25,99871.10,0.000273,19.709,0.06147,0.00788,8.0981,0.61438,13.0506,0.37854,0.7824,0.61198,0.37373
26,99843.80,0.00028,19.6499,0.06429,0.00841,8.0978,0.61439,13.0491,0.37862,0.78236,0.61191,0.37354
27,99815.90,0.000287,19.5878,0.06725,0.009,8.0974,0.61441,13.0474,0.37869,0.78233,0.61183,0.37334
28,99787.20,0.000296,19.5228,0.07034,0.00964,8.097,0.61443,13.0455,0.37878,0.78229,0.61174,0.3731
29,99757.70,0.000305,19.4547,0.07359,0.01033,8.0966,0.61445,13.0434,0.37888,0.78224,0.61163,0.37284
30,99727.30,0.000315,19.3834,0.07698,0.01109,8.0961,0.61447,13.041,0.379,0.78219,0.61152,0.37254
31,99695.80,0.000327,19.3086,0.08054,0.01192,8.0956,0.6145,13.0384,0.37913,0.78213,0.61139,0.37221
32,99663.20,0.000341,19.2303,0.08427,0.01281,8.0949,0.61453,13.0354,0.37927,0.78206,0.61124,0.37183
33,99629.30,0.000356,19.1484,0.08817,0.01379,8.0943,0.61456,13.032,0.37943,0.78199,0.61108,0.37141
34,99593.80,0.000372,19.0626,0.09226,0.01486,8.0935,0.6146,13.0282,0.37961,0.7819,0.6109,0.37094
35,99556.70,0.000391,18.9728,0.09653,0.01601,8.0926,0.61464,13.024,0.37981,0.78181,0.61069,0.37041
36,99517.80,0.000412,18.8788,0.10101,0.01727,8.0916,0.61468,13.0192,0.38004,0.7817,0.61046,0.36982
37,99476.70,0.000436,18.7805,0.10569,0.01863,8.0905,0.61474,13.0138,0.38029,0.78158,0.6102,0.36915
38,99433.30,0.000463,18.6777,0.11059,0.02012,8.0893,0.6148,13.0078,0.38058,0.78145,0.6099,0.36841
39,99387.30,0.000493,18.5701,0.11571,0.02173,8.0879,0.61486,13.0011,0.3809,0.7813,0.60957,0.36757
40,99338.30,0.000527,18.4578,0.12106,0.02347,8.0863,0.61494,12.9935,0.38126,0.78113,0.6092,0.36663
41,99285.90,0.000565,18.3403,0.12665,0.02536,8.0846,0.61502,12.985,0.38167,0.78094,0.60879,0.36558
42,99229.80,0.000608,18.2176,0.13249,0.02741,8.0826,0.61511,12.9754,0.38212,0.78072,0.60832,0.3644
43,99169.40,0.000656,18.0895,0.13859,0.02963,8.0804,0.61522,12.9647,0.38263,0.78048,0.6078,0.36307
44,99104.30,0.00071,17.9558,0.14496,0.03203,8.0779,0.61534,12.9526,0.38321,0.78021,0.60721,0.36159
45,99033.90,0.000771,17.8162,0.15161,0.03463,8.0751,0.61547,12.9391,0.38385,0.77991,0.60655,0.35994
46,98957.60,0.000839,17.6706,0.15854,0.03744,8.072,0.61562,12.924,0.38457,0.77956,0.60581,0.35809
47,98874.50,0.000916,17.5189,0.16577,0.04047,8.0684,0.61579,12.907,0.38538,0.77918,0.60498,0.35601
48,98783.90,0.001003,17.3607,0.1733,0.04374,8.0645,0.61598,12.888,0.38629,0.77875,0.60404,0.3537
49,98684.90,0.0011,17.196,0.18114,0.04727,8.06,0.61619,12.8667,0.3873,0.77827,0.60299,0.35112
